School_code#School_name#development_region#Eco_Belt#Zone#District#VDC#Address#Ward_No#Locality#ECD#PRIMARY#LSEC#SEC#HSEC
10060003#Yubabarsha Ma Vi#Eastern#Mountain#Mechi#Taplejung#Dokhu#Kaijale#9#Urban##Community_Managed#Community_Teacher_aided#Community_Unaided#
10060004#Jal Kanya Pra V#Eastern#Mountain#Mechi#Taplejung#Dokhu#Lyangwa#4#Urban#Community_Managed#Community_Managed###
10060005#Kabre Pra V#Eastern#Mountain#Mechi#Taplejung#Dokhu#Kabre#7#Urban##Community_Managed###
10060006#Shivalaya Pra V#Eastern#Mountain#Mechi#Taplejung#Dokhu#Namledanda#7#Urban#Community_Managed#Community_Managed###
10060007#Bidya Jyoti Pra V#Eastern#Mountain#Mechi#Taplejung#Dokhu#Charpate#7#Urban#Community_aided#Community_aided###
10060008#Dipjyoti Pra Vi#Eastern#Mountain#Mechi#Taplejung#Dokhu#Khopre#8#Urban#Community_Unaided#Community_Unaided###
10060010#Yalambar Pra Vi#Eastern#Mountain#Mechi#Taplejung#Dokhu#Lyangwa#4#Urban#Community_Teacher_aided#Community_Teacher_aided###
10070001#Danda Pra V#Eastern#Mountain#Mechi#Taplejung#Dummrise#Makhuja#7#Urban#Community_aided#Community_aided###
10070002#Pipleshwori Pra V#Eastern#Mountain#Mechi#Taplejung#Dummrise#Dumrise#2#Urban#Community_aided#Community_aided###
10070003#Siddheswari Ma Vi#Eastern#Mountain#Mechi#Taplejung#Dummrise#Khwang#6#Urban#Community_aided#Community_aided#Community_aided#Community_Unaided#
10080001#Bipudham Ni Ma Vi#Eastern#Mountain#Mechi#Taplejung#Ekhabu#Bipudhap#9#Urban#Community_Managed#Community_Managed#Community_Teacher_aided##
10080002#Janata Pra V#Eastern#Mountain#Mechi#Taplejung#Ekhabu#Samden#9#Rural#Community_aided#Community_aided###
10080003#Rani Pra V#Eastern#Mountain#Mechi#Taplejung#Ekhabu#Khani#1#Urban#Community_Managed#Community_Managed###
10080004#Sewalung Ni Ni Ma V#Eastern#Mountain#Mechi#Taplejung#Ekhabu#Seguwa#5#Urban#Community_aided#Community_aided#Community_aided##
10080005#Sundevi Ni Ni Ma V#Eastern#Mountain#Mechi#Taplejung#Ekhabu#Sunsabu#8#Rural#Community_Managed#Community_Managed#Community_Managed#Community_Unaided#
10080006#Chandrodaya Pra V#Eastern#Mountain#Mechi#Taplejung#Ekhabu#Phunchebung#4#Urban#Community_Teacher_aided#Community_Teacher_aided###
10080007#Phaktalung Pra V#Eastern#Mountain#Mechi#Taplejung#Ekhabu#Mangyak#6#Urban##Community_Unaided###
10090001#Bhagawati Pra V#Eastern#Mountain#Mechi#Taplejung#Hangdeva#Karkigaun#6#Urban#Community_aided#Community_aided###
10090002#Danda Ni Ma Vi#Eastern#Mountain#Mechi#Taplejung#Hangdeva#Panisar#7#Urban#Community_Managed#Community_Managed#Community_Unaided##
10090003#Durga Pra V#Eastern#Mountain#Mechi#Taplejung#Hangdeva#Bungkulung#9#Urban#Community_aided#Community_aided###
10090004#Gairi Gaun Pra V#Eastern#Mountain#Mechi#Taplejung#Hangdeva#Gairi#9#Urban#Community_aided#Community_aided###
10090005#Janata Uchcha Ma Vi#Eastern#Mountain#Mechi#Taplejung#Hangdeva#Aashangpati#6#Urban#Community_Managed#Community_Managed#Community_Managed#Community_Managed#Community_Unaided
10090006#Laxmi Pra V#Eastern#Mountain#Mechi#Taplejung#Hangdeva#Baridhap#6#Rural#Community_aided#Community_aided###
10090007#Pathibhara Pra V#Eastern#Mountain#Mechi#Taplejung#Hangdeva#Siddhidanda#7#Rural#Community_aided#Community_aided###
10090008#Shiva Ni Ma V#Eastern#Mountain#Mechi#Taplejung#Hangdeva#Bhotegaun#1#Urban#Community_aided#Community_aided#Community_Teacher_aided##
10090009#Tamor Nadi Ni Ni Ma V#Eastern#Mountain#Mechi#Taplejung#Hangdeva#Katahare#4#Urban#Community_aided#Community_Managed#Community_Teacher_aided##
10100001#Janata Pra V#Eastern#Mountain#Mechi#Taplejung#Hangpang#Dhunge#2#Urban#Community_aided#Community_aided###
10100002#Shanti Ni Ni Ma V#Eastern#Mountain#Mechi#Taplejung#Hangpang#Michiring#9#Urban#Community_aided#Community_aided#Community_Unaided##
