School_code,School_name,development_region,Eco_Belt,Zone,District,VDC,Address,Ward_No,Locality,ECD,PRIMARY,LSEC,SEC,HSEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20080001,Bishnu Uchha Uchha Ma Vchool,Eastern,Hill,Mechi,Panchthar,Chyangthapu,Phungladin,9,Urban,Community_aided,Community_aided,Community_aided,Community_aided,Community_Managed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100002,Saraswati Ma V,Eastern,Hill,Mechi,Panchthar,Ekteen,Tindhare,5,Rural,Community_aided,Community_aided,Community_aided,Community_Teacher_aided,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20100011,Youth Initiative Ebs,Eastern,Hill,Mechi,Panchthar,Ekteen,Ekteen,2,Urban,Institutional_Private_Trust,Institutional_Private_Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20110001,Satyahangnma Ma V,Eastern,Hill,Mechi,Panchthar,Embung,Ahaldanda,2,Rural,Community_aided,Community_aided,Community_Teacher_aided,Community_Teacher_aided,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20120001,Narayani Ma V,Eastern,Hill,Mechi,Panchthar,Falaicha,Gangawa,8,Urban,,Community_aided,Community_aided,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150011,Bal Jyoti Ebs,Eastern,Hill,Mechi,Panchthar,Limba,Limba,3,Rural,Institutional_Private_Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20180001,Siddha Saraswati Ma V,Eastern,Hill,Mechi,Panchthar,Mangjabung,Barbhangyang,1,Rural,Community_aided,Community_Managed,Community_Managed,Community_Teacher_aided,Community_Teacher_aided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20190001,Indrani Ma V,Eastern,Hill,Mechi,Panchthar,Mauwa,Thapagaun,1,Rural,,Community_aided,Community_aided,Community_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020004,Bidya Sirjanatmak Ma V,Eastern,Hill,Mechi,Ilam,Bajho,Marchebung,2,Urban,,Community_Managed,Community_Managed,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30030001,Amar Uchha Uchha Ma V,Eastern,Hill,Mechi,Ilam,Barbote,Barbote,3,Urban,,Community_Managed,Community_aided,Community_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30030007,Barbote Ebs,Eastern,Hill,Mechi,Ilam,Barbote,Barbote,3,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30040001,Phalate Ma V,Eastern,Hill,Mechi,Ilam,Chameta,Simsara,9,Urban,Community_Managed,Community_Managed,Community_Teacher_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30040012,Mahabharat Bal Ebs,Eastern,Hill,Mechi,Ilam,Chameta,Maidane,2,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30060009,Janta Uchha Uchha Ma V,Eastern,Hill,Mechi,Ilam,Chulachuli,Bargothe,3,Urban,,Community_Managed,Community_Managed,Community_Managed,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30060012,New Sun Flower Ebs,Eastern,Hill,Mechi,Ilam,Chulachuli,Bharagore,3,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30070014,Kankai Uchha Uchha Ma V,Eastern,Hill,Mechi,Ilam,Danabari,Sitali,1,Urban,,Community_aided,Community_aided,Community_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30070025,Ilam Newlight English Ebs,Eastern,Hill,Mechi,Ilam,Danabari,Danabari,1,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30070026,Futurestep Step Academy Ebs,Eastern,Hill,Mechi,Ilam,Danabari,Danabari,4,Urban,Institutional_Enlisted_With_Company,Institutional_Enlisted_With_Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30090001,Emang Ma V,Eastern,Hill,Mechi,Ilam,Ebhang,Tole,3,Urban,,Community_Managed,Community_Managed,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100001,Singha Devi Uchha Uchha Ma V,Eastern,Hill,Mechi,Ilam,Ektappa,Shikaribhanjyang,5,Urban,,Community_Managed,Community_Managed,Community_Managed,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30100007,Jana Kalyan Ma V,Eastern,Hill,Mechi,Ilam,Ektappa,Dokandanda,9,Urban,,Community_Managed,Community_Teacher_aided,Community_Unaided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
